epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2645.01,1.10879,0.59974,0.87525,0.7543,0.47424,0.53185,0.27623,1.40264,0.6902,0.87111,0.0001981,0.0001981,0.0001981
83,2677.59,1.11023,0.58231,0.87517,0.78872,0.45489,0.5264,0.27122,1.42169,0.69549,0.88157,0.0001882,0.0001882,0.0001882
84,2710,1.09675,0.56393,0.87244,0.78503,0.45354,0.52623,0.2729,1.39877,0.69573,0.87647,0.0001783,0.0001783,0.0001783
85,2742.36,1.10631,0.59125,0.88695,0.6794,0.47834,0.52877,0.27056,1.41181,0.69571,0.87626,0.0001684,0.0001684,0.0001684
86,2774.76,1.1564,0.60492,0.89245,0.80193,0.43802,0.52466,0.2823,1.36227,0.67744,0.86597,0.0001585,0.0001585,0.0001585
87,2807.12,1.08056,0.57365,0.86681,0.74942,0.46858,0.52323,0.27227,1.40371,0.68684,0.87567,0.0001486,0.0001486,0.0001486
88,2839.44,1.09746,0.5805,0.87173,0.70175,0.48154,0.5239,0.27768,1.37038,0.67484,0.87098,0.0001387,0.0001387,0.0001387
89,2871.99,1.09248,0.56972,0.87251,0.77333,0.44853,0.51979,0.27261,1.38616,0.67131,0.87397,0.0001288,0.0001288,0.0001288
90,2904.29,1.06527,0.56534,0.87642,0.8194,0.45571,0.52902,0.27685,1.41228,0.67374,0.8772,0.0001189,0.0001189,0.0001189
91,2936.1,1.03197,0.52203,0.84951,0.73997,0.45226,0.51345,0.27252,1.36497,0.66483,0.868,0.000109,0.000109,0.000109
92,2967.86,1.03392,0.52104,0.84641,0.77532,0.44804,0.51898,0.26997,1.39927,0.67986,0.87355,9.91e-05,9.91e-05,9.91e-05
93,2999.88,1.02336,0.51345,0.85067,0.76154,0.45634,0.52377,0.27529,1.36093,0.67528,0.86857,8.92e-05,8.92e-05,8.92e-05
94,3031.69,0.99502,0.51052,0.83824,0.76642,0.44957,0.52502,0.27157,1.36447,0.6803,0.86617,7.93e-05,7.93e-05,7.93e-05
95,3064.33,1.0101,0.52079,0.84994,0.78278,0.44554,0.52057,0.26966,1.36735,0.67951,0.86693,6.94e-05,6.94e-05,6.94e-05
96,3096.11,0.99794,0.50164,0.85801,0.76453,0.46202,0.52424,0.27489,1.36464,0.67209,0.863,5.95e-05,5.95e-05,5.95e-05
97,3127.74,0.98129,0.49378,0.8419,0.74009,0.47335,0.53174,0.27486,1.37536,0.67442,0.86584,4.96e-05,4.96e-05,4.96e-05
98,3159.49,0.97164,0.49455,0.8426,0.72424,0.4573,0.52891,0.2759,1.34307,0.67181,0.86163,3.97e-05,3.97e-05,3.97e-05
99,3191.42,0.99782,0.48502,0.84396,0.78056,0.45752,0.53224,0.27678,1.35528,0.67213,0.8643,2.98e-05,2.98e-05,2.98e-05
100,3223.1,0.99118,0.49136,0.83808,0.78924,0.45479,0.53086,0.27344,1.38055,0.67317,0.8694,1.99e-05,1.99e-05,1.99e-05
